Instruction datasets written to data/instruct
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.147, 'grad_norm': 2.5707178115844727, 'learning_rate': 1.966660116591341e-05, 'epoch': 0.05}
{'loss': 1.1899, 'grad_norm': 2.1562612056732178, 'learning_rate': 1.9660051090587546e-05, 'epoch': 0.05}
{'loss': 1.2712, 'grad_norm': 2.364642858505249, 'learning_rate': 1.9653501015261677e-05, 'epoch': 0.05}
{'loss': 1.0841, 'grad_norm': 3.769862174987793, 'learning_rate': 1.9646950939935812e-05, 'epoch': 0.05}
{'loss': 1.2069, 'grad_norm': 2.3564865589141846, 'learning_rate': 1.9640400864609944e-05, 'epoch': 0.05}
{'loss': 1.3142, 'grad_norm': 3.534433364868164, 'learning_rate': 1.963385078928408e-05, 'epoch': 0.06}
{'loss': 1.2081, 'grad_norm': 3.4578752517700195, 'learning_rate': 1.9627300713958214e-05, 'epoch': 0.06}
{'loss': 1.2926, 'grad_norm': 3.0901196002960205, 'learning_rate': 1.9620750638632346e-05, 'epoch': 0.06}
{'loss': 1.2163, 'grad_norm': 2.7615201473236084, 'learning_rate': 1.961420056330648e-05, 'epoch': 0.06}
{'loss': 1.3185, 'grad_norm': 3.212181329727173, 'learning_rate': 1.9607650487980613e-05, 'epoch': 0.06}
{'loss': 1.1269, 'grad_norm': 2.6510095596313477, 'learning_rate': 1.9601100412654748e-05, 'epoch': 0.06}
{'loss': 1.24, 'grad_norm': 2.233678102493286, 'learning_rate': 1.9594550337328883e-05, 'epoch': 0.06}
{'loss': 1.1489, 'grad_norm': 2.2868919372558594, 'learning_rate': 1.9588000262003014e-05, 'epoch': 0.06}
{'loss': 1.0524, 'grad_norm': 2.615861415863037, 'learning_rate': 1.958145018667715e-05, 'epoch': 0.06}
{'loss': 1.2548, 'grad_norm': 3.2725601196289062, 'learning_rate': 1.957490011135128e-05, 'epoch': 0.06}
{'loss': 1.0873, 'grad_norm': 2.9988298416137695, 'learning_rate': 1.9568350036025416e-05, 'epoch': 0.06}
{'loss': 1.2356, 'grad_norm': 2.417510986328125, 'learning_rate': 1.956179996069955e-05, 'epoch': 0.07}
{'loss': 1.0946, 'grad_norm': 2.9935109615325928, 'learning_rate': 1.9555249885373683e-05, 'epoch': 0.07}
{'loss': 1.1767, 'grad_norm': 3.755117654800415, 'learning_rate': 1.9548699810047818e-05, 'epoch': 0.07}
{'loss': 1.2049, 'grad_norm': 2.8537063598632812, 'learning_rate': 1.954214973472195e-05, 'epoch': 0.07}
{'loss': 1.2003, 'grad_norm': 2.411630392074585, 'learning_rate': 1.9535599659396085e-05, 'epoch': 0.07}
{'loss': 1.0688, 'grad_norm': 2.845694065093994, 'learning_rate': 1.952904958407022e-05, 'epoch': 0.07}
{'loss': 1.1425, 'grad_norm': 1.874552845954895, 'learning_rate': 1.952249950874435e-05, 'epoch': 0.07}
{'loss': 1.1424, 'grad_norm': 2.6103925704956055, 'learning_rate': 1.9515949433418487e-05, 'epoch': 0.07}
{'loss': 1.0489, 'grad_norm': 3.8027422428131104, 'learning_rate': 1.950939935809262e-05, 'epoch': 0.07}
{'loss': 1.1071, 'grad_norm': 2.9303104877471924, 'learning_rate': 1.9502849282766753e-05, 'epoch': 0.07}
{'loss': 1.1774, 'grad_norm': 2.6591148376464844, 'learning_rate': 1.949629920744089e-05, 'epoch': 0.08}
{'loss': 1.15, 'grad_norm': 2.55019211769104, 'learning_rate': 1.948974913211502e-05, 'epoch': 0.08}
{'loss': 1.1219, 'grad_norm': 2.981297731399536, 'learning_rate': 1.9483199056789155e-05, 'epoch': 0.08}
